Variety,Quantity,Usage,Period
Puwalu,920,Banana candies,January-December
Rath Kesel,3464,Make high quality acid free paper from banana stems and leaves,November-January
Ambul Nadee,1208,Make high quality acid free paper from banana stems and leaves,November-January
Ambul Nadee,3587,Make natural remedies,November-January
Ambul Nadee,3976,Banana chocolates and sweets,January-December
Seeni Parakum,2509,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Sini Kesel,1115,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambum,646,Banana flavored craft beers,November-January
Nethra Palam,991,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Anamalu,1118,Make banana oils are used in cosmatic industry,November-January
Sini Kesel,645,Make bioplastics,November-January
Green Banana,1213,Textile industry- make banana fibers,January-December
Anamalu,802,Brewing and distilling industry- Make banana beer,November-January
Suwandal,238,Export to USA as fresh banana,January-December
Rath Kesel,2246,Brewing and distilling industry- Make banana beer,November-January
Suwandal,2696,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Green Banana,1372,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Green Banana,1988,Make breakfast cereals,January-December
Anamalu,4572,Make natural remedies,January-December
Rath Kesel,4455,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Nethra Palam,2645,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambum,2951,Make natural remedies,November-January
Anamalu,369,Textile industry- make banana fibers,November-January
Ambum,3382,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Nethra Palam,2235,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Anamalu,3575,Make bioplastics,January-December
Sini Kesel,831,Export to USA as fresh banana,January-December
Green Banana,2978,make banana silk which is eco friendly and biodegradable,January-December
Ambul Kesel,2573,Export to USA as fresh banana,November-January
Ambul Nadee,4205,make banana silk which is eco friendly and biodegradable,January-December
Anamalu,4972,Banana chocolates and sweets,January-December
Green Banana,1963,Make bioplastics,January-December
Anamalu,4102,make banana silk which is eco friendly and biodegradable,November-January
Sini Kesel,948,Make jam and sugary products to the local market,January-December
Suwandal,4189,Banana chocolates and sweets,January-December
Rath Kesel,4967,Make innorganic fertilizers,January-December
Puwalu,1690,Banana flavored craft beers,November-January
Green Banana,3657,Make natural remedies,January-December
Nethra Palam,826,Banana flavored craft beers,January-December
Ambul Nadee,1381,Food industry-desserts varieties,November-January
Suwandal,2245,Make jam and sugary products to the local market,November-January
Seeni Parakum,4428,Give CBL to make Waffers Biscuits,January-December
Rath Kesel,3737,Make innorganic fertilizers,January-December
Nethra Palam,2089,Textile industry- make banana fibers,November-January
Nethra Palam,4904,Make tea bags and filters,January-December
Kolikuttu,1900,dehydrated banana chips,January-December
Sini Kesel,2488,Bakery industry- Banana breads and banana cakes,November-January
Seeni Parakum,4972,make banana silk which is eco friendly and biodegradable,January-December
Ambul Kesel,2239,Food industry-desserts varieties,January-December
Rath Kesel,1247,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Anamalu,2186,Make natural remedies,January-December
Green Banana,4408,Bakery industry- Banana breads and banana cakes,January-December
Ambul Nadee,626,Export to USA as fresh banana,January-December
Rath Kesel,2577,Banana chocolates and sweets,January-December
Kolikuttu,4058,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Green Banana,4293,Make organic fertilizers,January-December
Ambum,3294,Make single use plastic alternatives,January-December
Anamalu,1508,Food industry-desserts varieties,November-January
Seeni Parakum,312,Make bioplastics,January-December
Rath Kesel,361,Banana chips ( both sweetened and unsweetened),November-January
Anamalu,484,Make breakfast cereals,November-January
Ambul Nadee,1287,Banana chips ( both sweetened and unsweetened),January-December
Suwandal,3268,make banana silk which is eco friendly and biodegradable,January-December
Rath Kesel,4265,Make breakfast cereals,November-January
Puwalu,3344,Export to USA as fresh banana,January-December
Ambum,4505,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Suwandal,2003,Make single use plastic alternatives,November-January
Suwandal,439,Banana candies,November-January
Green Banana,470,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambum,3784,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Green Banana,3823,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Nadee,1807,Food industry-desserts varieties,November-January
Puwalu,4795,cosmetic industry- Make haircare treatments with banana extracts,January-December
Ambul Kesel,3924,Make breakfast cereals,January-December
Ambul Kesel,3455,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Anamalu,2897,cosmetic industry- Make haircare treatments with banana extracts,January-December
Rath Kesel,412,Banana chocolates and sweets,January-December
Suwandal,2374,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Puwalu,1962,Make banana oils are used in cosmatic industry,November-January
Rath Kesel,2486,Make bioplastics,January-December
Green Banana,1828,Make bioplastics,January-December
Ambum,737,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambum,2416,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Kandula,4252,Banana chocolates and sweets,January-December
Kolikuttu,2715,Make bioplastics,November-January
Seeni Parakum,1723,cosmetic industry- Make haircare treatments with banana extracts,January-December
Puwalu,4769,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambul Nadee,668,Export to USA as fresh banana,January-December
Ambum,4516,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Anamalu,3339,make banana silk which is eco friendly and biodegradable,January-December
Seeni Parakum,2554,Banana flavored craft beers,November-January
Suwandal,2264,cosmetic industry- Make haircare treatments with banana extracts,November-January
Kandula,2890,Make banana oils are used in cosmatic industry,January-December
Rath Kesel,1092,make banana silk which is eco friendly and biodegradable,January-December
Suwandal,810,make banana silk which is eco friendly and biodegradable,January-December
Rath Kesel,4464,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Puwalu,2226,Make innorganic fertilizers,November-January
Seeni Parakum,3381,Give CBL to make Waffers Biscuits,November-January
Puwalu,2030,Bakery industry- Banana breads and banana cakes,January-December
Seeni Parakum,485,Banana chips ( both sweetened and unsweetened),November-January
Anamalu,3703,Make tea bags and filters,November-January
Ambum,1485,Make banana oils are used in cosmatic industry,November-January
Sini Kesel,4378,Make single use plastic alternatives,January-December
Kolikuttu,3167,Food industry-desserts varieties,November-January
Puwalu,4938,cosmetic industry- Make haircare treatments with banana extracts,November-January
Ambul Nadee,3218,Make organic fertilizers,November-January
Ambum,4122,Make jam and sugary products to the local market,November-January
Nethra Palam,538,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Puwalu,310,Bakery industry- Banana breads and banana cakes,January-December
Kolikuttu,2768,Make innorganic fertilizers,January-December
Sini Kesel,531,Banana flavored craft beers,November-January
Ambul Kesel,4552,cosmetic industry- Make haircare treatments with banana extracts,January-December
Anamalu,4743,Brewing and distilling industry- Make banana beer,November-January
Green Banana,1943,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kolikuttu,4430,cosmetic industry- Make haircare treatments with banana extracts,November-January
Suwandal,437,make banana silk which is eco friendly and biodegradable,November-January
Puwalu,3493,cosmetic industry- Make haircare treatments with banana extracts,November-January
Puwalu,4338,make banana silk which is eco friendly and biodegradable,November-January
Anamalu,2685,Banana candies,November-January
Puwalu,1530,Make single use plastic alternatives,January-December
Sini Kesel,1008,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Green Banana,3010,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Green Banana,4982,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kolikuttu,2217,Make organic fertilizers,January-December
Seeni Parakum,1012,Make bioplastics,November-January
Anamalu,4228,Make natural remedies,January-December
Kandula,767,Make single use plastic alternatives,January-December
Seeni Parakum,3094,Banana candies,November-January
Ambul Nadee,2503,Food industry-desserts varieties,January-December
Suwandal,2324,Food industry-desserts varieties,January-December
Rath Kesel,2069,Banana chips ( both sweetened and unsweetened),November-January
Puwalu,4577,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Green Banana,306,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Kandula,3049,Textile industry- make banana fibers,January-December
Kolikuttu,2607,Make tea bags and filters,November-January
